87,87,88,89,89,90,90,91,92,92,93,93,93,93,90,81,77,69,66,60,
54,49,46,42,39,36,32,30,29,26,25,23,21,19,18,16,16,15,13,13,
13,12,11,10,10,9,9,8,8,7,7,7,7,7,7,6,6,7,7,6,
6,6,6,5,5,5,5,6,5,5,5,5,5,5,5,6,5,5,6,6,
5,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,
4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,5,4,
4,4,4,4,4,5,6,6,7,6,6,6,5,6,5,6,5,6,6,5,
5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,6,6,
6,7,7,7,7,8,8,7,7,8,8,8,7,7,7,8,8,9,10,10,
10,9,9,9,9,8,8,7,8,7,7,7,7,8,9,8,8,8,8,8,
8,7,7,7,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6,5,
5,4,4,4,4,4,4,5,7,9,12,51,66,68,79,82,84,83,81,74,
67,62,60,57,56,53,50,47,45,41,40,36,33,30,28,26,24,22,21,19,
18,16,16,14,13,12,12,13,13,13,12,12,12,11,11,11,11,10,10,9,
9,8,8,7,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,
7,7,7,7,7,7,7,6,6,6,6,6,6,7,7,7,6,6,6,7,
18,68,91,93,93,93,93,93,93,93,92,85,78,72,69,65,63,58,54,50,
48,45,43,40,37,35,33,31,30,27,25,25,24,23,22,21,19,18,17,17,
16,15,14,13,13,12,13,12,12,11,11,11,11,10,10,9,9,9,9,9,
9,9,9,10,10,9,8,8,8,8,8,8,7,7,8,7,7,7,6,6,
6,7,7,8,7,7,7,7,6,6,6,6,7,6,6,5,5,5,4,4,
4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,
3,3,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,6,
5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,
6,6,6,5,5,5,5,5,5,5,5,5,6,6,8,8,8,9,9,8,
8,8,7,8,9,8,8,8,8,7,7,7,8,8,8,8,9,8,8,8,
7,7,7,7,6,6,6,7,7,7,7,7,7,6,6,6,6,7,7,7,
7,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,5,5,5,5,
5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,4,
5,5,5,4,4,4,4,4,4,5,5,5,5,5,6,7,7,7,7,7,
8,7,7,
